Country Name,Country Code,Series Name,Series Code,1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
World,WLD,Urban population (% of total population),SP.URB.TOTL.IN.ZS,35.6985896043541,35.9113333072466,36.1190981160218,36.3158290978333,36.5057841067337,36.7071289470001,36.9201742796839,37.1534284016958,37.4178137834219,37.6494133164483,37.9099943117959,38.1761800033625,38.5118330486006,38.9155411774529,39.3301377051471,39.7551594587841,40.1336428862253,40.4764780238378,40.8318426007151,41.1898287102714,41.553932665034,41.9208647309509,42.287792461893,42.6444588266462,43.0039093726699,43.3720277765318,43.7366866312509,44.0952783203448,44.456850676825,44.817222756561,45.1746204405046,45.5372049834299,45.9061206803049,46.2774696596455,46.6578577151982,47.1030448765197,47.5926181997335,48.0839615964876,48.5829023019386,49.0880400467304,49.5882609391725,50.0818289225899,50.5883270492273,51.0869331741482,51.5762120154319,52.0218135501306,52.461280460224,52.9088674665259,53.3645718877624,53.8272499686749
World,WLD,Urban population growth (annual %),SP.URB.GROW,2.68382471423551,2.66452525804191,2.66034109999451,2.65786520904756,2.62648301826007,2.6692085893248,2.60035454316036,2.632190472704,2.66070398942946,2.48556058631905,2.49970295006376,2.46990355901617,2.6490942908835,2.83710270938717,2.83868607450964,2.86830776609195,2.77820970461767,2.6547107354429,2.63842928802535,2.64231830546431,2.671188022328,2.6872119783079,2.66397961058149,2.60233396384852,2.60306296954231,2.5543486053047,2.48240123991512,2.41335664379602,2.36987201459209,2.32380881894794,2.2908166643285,2.2679324109329,2.24330164810127,2.20470865708238,2.18768310048951,2.30223682845967,2.3670021119253,2.33510638246123,2.3259364000243,2.31672296654011,2.28940614089677,2.25033498486039,2.27244228146479,2.23601570944456,2.19394788524816,2.08114675594206,2.09507837937765,2.09649450830311,2.08727403306608,2.0661926763708
Sub-Saharan Africa,SSF,Urban population (% of total population),SP.URB.TOTL.IN.ZS,16.6539109122475,17.024101217401,17.4032759643621,17.7929614796032,18.1720015086803,18.583036815669,19.013252236895,19.4454230045745,19.8672078812357,20.2963899232509,20.732412488322,21.1613907137973,21.6008789126098,21.9951944303116,22.3817247190962,22.7987697787218,23.2079211644142,23.6555458534475,24.1524826253617,24.6944174815978,25.262460615183,25.8315581601449,26.3995853483143,26.9602501966679,27.5108685048332,27.9499821715952,28.3793869460669,28.8097828937383,29.236112767013,29.6293528918124,29.9657843634393,30.3205459151612,30.6852050952887,31.0475520399107,31.4095085128199,31.8358310239856,32.2726592800012,32.7116593999153,33.1556769779398,33.6156888656079,34.0731599930885,34.4886062372549,34.9917097740509,35.4996286138736,36.015180198568,36.53701418725,37.0485316902706,37.5618732342058,38.0890675873544,38.6313191921447
Sub-Saharan Africa,SSF,Urban population growth (annual %),SP.URB.GROW,4.86035277179384,4.87893307554445,4.92330013804437,4.958345351624,4.87385375371518,5.02415648166408,5.06887624219361,5.0781303555607,5.05709149836709,5.08220314951231,5.06811658370478,4.95114996731785,5.06952107307266,4.90435727135181,4.72509265488708,4.86774311594966,4.88444902406488,4.87885554688752,4.96809609807198,5.17141465591153,5.26398884811927,5.24093740022586,5.10517334284921,4.99717620242657,4.90807180024922,4.36643706284572,4.24974298093576,4.22064024412859,4.14285756123695,4.03430514600484,3.85687872693991,3.83881605096461,3.8315855709231,3.83022544390093,3.84691171077253,4.06779062720415,4.09800674788062,4.09475985333236,4.11328513226847,4.16225274388331,4.15352053246659,4.03314840056257,4.29244917701669,4.28352875564788,4.28664494680891,4.2722506149194,4.20853831294016,4.19677057408616,4.20750021303004,4.23353892829496
Middle East & North Africa,MEA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,39.6324773687672,40.3614056427522,41.0964284169211,41.8434147812207,42.600596333835,43.3342536766714,44.075117094643,44.8307231393753,45.5611458364821,46.2628501169578,46.9957378912315,47.688940630842,48.2815293716084,48.8648089940303,49.4946126976755,50.1145202904195,50.7175444737915,51.313115311812,51.8984444770442,52.459836718632,53.023176527739,53.5052833276049,53.9092373596472,54.2918634913206,54.671390343776,55.0137757793284,55.5025636684655,55.9420149793447,56.3465991176846,56.6924275356641,57.0317954308284,57.3806238281633,57.7451893416046,58.1145011136504,58.4838426576042,58.8524682135924,59.1998768770009,59.5392904748561,59.8871122285998,60.2939240613919,60.7422517926746,61.1753525749648,61.6094501857364,62.0404519876563,62.4177973177006,62.6718495677513,62.9313265030972,63.2755312030127,63.6534664834985,64.0573700796651
Middle East & North Africa,MEA,Urban population growth (annual %),SP.URB.GROW,4.8534858673176,4.75232504127889,4.69868982480406,4.7195446936926,4.72817958226209,4.61652909859973,4.58882038530231,4.65914894163535,4.59077361562646,4.65223935394145,5.03343245007311,4.86584179674534,4.19807855670452,4.23583488217302,4.58714026852208,4.85541906409024,4.76408434112743,4.47612178527928,4.45929676288767,4.33201015748965,4.28208898524689,4.03769088155563,3.7388485172617,3.63269965048629,4.27995409279329,3.47054187537617,3.64824245298914,3.11756497706035,2.90793583826627,2.83701740891287,2.75955394506657,2.76240390735285,2.75739187515664,2.74044715701163,2.73654015765081,2.71608582499883,2.51127187111773,2.46035954757619,2.60334171783599,2.83113375867229,3.06606974530523,3.12667894651149,3.1422228289038,3.09284998168096,2.84741389342089,2.43731345928944,2.41027964451594,2.65269365394805,2.7087735651528,2.6958581245856
East Asia & Pacific,EAS,Urban population (% of total population),SP.URB.TOTL.IN.ZS,24.6786997907447,24.7285541091599,24.7984771019904,24.874109266123,24.9530650363033,25.0696058838292,25.1710151609422,25.3520878697641,25.6107992742096,25.7444096349542,25.9373163885631,26.124955144535,26.5153175987599,27.1238741959559,27.7593431409292,28.4242274203318,29.0883017532895,29.6621566123882,30.2518398307596,30.8447263434177,31.4498244509803,32.0688143789454,32.6941669984867,33.3321072097269,33.9803055270516,34.6738391015905,35.3757770805942,36.0907500428877,36.8225558811408,37.5678519271023,38.3265601777824,39.0832950330711,39.8538417529001,40.6331276556329,41.4405420320708,42.4325163705952,43.5158025779134,44.5996367191787,45.6864338869016,46.7693543771931,47.8214066572091,48.8586200524149,49.898381618332,50.9285819146823,51.9540856381233,52.8824684747964,53.775994456616,54.6637466620364,55.5523143373448,56.438638125563
East Asia & Pacific,EAS,Urban population growth (annual %),SP.URB.GROW,2.57492512767273,2.63693324133787,2.7750913188046,2.90040101446796,2.91789272064294,3.13699240320595,2.79395755880473,2.98727697598378,3.13718343597643,2.3864813806252,2.43853207866145,2.29657243019719,3.07137691532158,3.88397137166416,3.87034597156708,3.95080766778999,4.0123056326336,3.61167743375417,3.52071862943673,3.4994056913425,3.55939365125289,3.62923629739538,3.60239945384404,3.54686607359842,3.48658317041148,3.52012299969577,3.39882647898591,3.33851297726304,3.31859576672248,3.26580358367328,3.23641399630151,3.15434361079004,3.09619978152193,2.9863829252635,2.94994040900316,3.31267321461152,3.41842889290479,3.30905217118776,3.21903320364925,3.13769544767553,3.01124496887692,2.9179078950508,2.87177288442794,2.77887145536326,2.71227129390942,2.51403269323977,2.50209765954177,2.44354303253343,2.38762729049877,2.32123120963156
Arab World,ARB,Urban population (% of total population),SP.URB.TOTL.IN.ZS,35.6732539088972,36.3576281319132,37.0570488550047,37.7671128750643,38.4815483947175,39.1690007032558,39.8710914929653,40.5662376999626,41.1977299018807,41.7987508859464,42.4444657383449,43.06607490166,43.5418116689702,43.9717671913782,44.4837922580346,45.0343218331119,45.5711662186222,46.1387769431541,46.7764669844878,47.3896623940812,48.0053193114113,48.5751677386731,49.0998019228664,49.5950846719184,50.074412080139,50.471175220027,51.0190267061052,51.4348089295405,51.7024141696087,51.8985035847986,52.0919238879614,52.3161747222878,52.5620010400932,52.810525933373,53.0559973795537,53.3118011492396,53.5664327586935,53.830162111699,54.0955224686373,54.4352230672072,54.834300381715,55.1196682551353,55.5592923941882,55.996756942822,56.3804175556449,56.6379951294674,56.8642213511558,57.1779738210308,57.507260831792,57.8461531322777
Arab World,ARB,Urban population growth (annual %),SP.URB.GROW,5.10009189116982,4.81147155707393,4.84992437823585,4.85066982505748,4.81309407497372,4.6986963727818,4.72212422178313,4.71042464317955,4.59259946756995,4.69672462192344,5.16891063039185,5.0202494353252,4.28572347576517,4.38463784112125,4.71911081381498,4.50431262877078,4.388937414133,4.50798687977792,4.58265721401747,4.39815754521604,4.37993058637221,4.18262867676454,3.78383624010397,3.64274194773384,4.14820735894277,2.98453955257881,3.60838019737014,3.54026514154135,3.25133064628274,2.87557599344284,2.78600077399413,2.80948792618567,2.79935441667753,2.77031496761246,2.76137514575139,2.73856886490258,2.70492064774672,2.68777310921678,2.68148730511189,2.97594602863759,3.29240797746326,3.21005995366575,3.52502178436676,3.44044105850918,3.13969526976223,2.64099525216935,2.56523641606816,2.86427087845205,2.84813396139121,2.75797535973675
